time,temperature,humidity,windspeed,city,THI,date
2024-06-06T21:00,19.2,88,4.7,温州,18.8898,2024-06-06
2024-06-06T22:00,18.8,90,4.4,温州,18.5635,2024-06-06
2024-06-06T23:00,19.5,87,3.8,温州,19.1425,2024-06-06
2024-06-07T00:00,19.4,88,3.4,温州,19.0766,2024-06-07
2024-06-07T01:00,19.2,90,3.1,温州,18.941499999999998,2024-06-07
2024-06-07T02:00,19.3,89,4.8,温州,19.0096,2024-06-07
2024-06-07T03:00,19.0,90,5.1,温州,18.7525,2024-06-07
2024-06-07T04:00,18.9,91,5.1,温州,18.682199999999998,2024-06-07
2024-06-07T05:00,18.5,92,5.6,温州,18.324,2024-06-07
2024-06-07T06:00,18.8,92,5.5,温州,18.6108,2024-06-07
2024-06-07T07:00,19.7,89,3.3,温州,19.3854,2024-06-07
2024-06-07T08:00,20.9,85,2.4,温州,20.372,2024-06-07
2024-06-07T09:00,23.8,76,5.0,温州,22.572400000000002,2024-06-07
2024-06-07T10:00,24.9,74,1.4,温州,23.412799999999997,2024-06-07
2024-06-07T11:00,25.0,74,6.6,温州,23.4985,2024-06-07
2024-06-07T12:00,24.9,76,8.3,温州,23.5272,2024-06-07
2024-06-07T13:00,25.6,72,4.5,温州,23.8906,2024-06-07
2024-06-07T14:00,25.9,71,0.8,温州,24.081699999999998,2024-06-07
2024-06-07T15:00,26.3,70,1.9,温州,24.353,2024-06-07
2024-06-07T16:00,26.4,71,5.6,温州,24.501949999999997,2024-06-07
2024-06-07T17:00,25.6,74,8.9,温州,24.012700000000002,2024-06-07
2024-06-07T18:00,24.6,80,6.5,温州,23.489,2024-06-07
2024-06-07T19:00,23.5,83,5.4,温州,22.6585,2024-06-07
2024-06-07T20:00,21.9,91,6.4,温州,21.5337,2024-06-07
2024-06-07T21:00,21.6,93,4.3,温州,21.32665,2024-06-07
2024-06-07T22:00,21.6,91,4.5,温州,21.24855,2024-06-07
2024-06-07T23:00,21.2,93,4.1,温州,20.94205,2024-06-07
2024-06-08T00:00,21.0,95,3.9,温州,20.82125,2024-06-08
2024-06-08T01:00,21.2,95,3.1,温州,21.01575,2024-06-08
2024-06-08T02:00,20.5,98,2.4,温州,20.434,2024-06-08
2024-06-08T03:00,20.0,100,4.1,温州,20.0,2024-06-08
2024-06-08T04:00,19.5,100,3.8,温州,19.5,2024-06-08
2024-06-08T05:00,19.5,99,3.9,温州,19.4725,2024-06-08
2024-06-08T06:00,20.5,98,5.6,温州,20.434,2024-06-08
2024-06-08T07:00,21.6,95,6.6,温州,21.40475,2024-06-08
2024-06-08T08:00,23.3,89,7.4,温州,22.7676,2024-06-08
2024-06-08T09:00,25.6,80,5.7,温州,24.379,2024-06-08
2024-06-08T10:00,26.8,76,2.7,温州,25.1764,2024-06-08
2024-06-08T11:00,27.6,71,4.2,温州,25.510550000000002,2024-06-08
2024-06-08T12:00,28.4,67,4.7,温州,25.87715,2024-06-08
2024-06-08T13:00,29.0,61,2.9,温州,25.88975,2024-06-08
2024-06-08T14:00,28.4,70,10.9,温州,26.106499999999997,2024-06-08
2024-06-08T15:00,26.2,81,16.8,温州,24.97735,2024-06-08
2024-06-08T16:00,25.2,81,14.1,温州,24.08185,2024-06-08
2024-06-08T17:00,24.8,81,12.8,温州,23.72365,2024-06-08
2024-06-08T18:00,23.4,86,8.9,温州,22.714699999999997,2024-06-08
2024-06-08T19:00,22.5,92,3.5,温州,22.148,2024-06-08
2024-06-08T20:00,21.6,95,4.8,温州,21.40475,2024-06-08
2024-06-08T21:00,21.9,95,3.3,温州,21.696499999999997,2024-06-08
2024-06-08T22:00,21.4,97,3.4,温州,21.28615,2024-06-08
2024-06-08T23:00,20.9,98,3.9,温州,20.8296,2024-06-08
